time,location_id,temp_max,humidity,precipitation,location_wkt
2026-05-21 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-22 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-23 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-21 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-22 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-23 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-21 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-22 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-23 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-21 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-22 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-23 03:00:00+00:00,-24.3101_-64.6620,,,,POINT(-64.6619555 -24.3100735)
2026-05-21 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-22 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-23 03:00:00+00:00,-24.3833_-65.2500,,,,POINT(-65.25 -24.3833)
2026-05-21 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-22 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-23 03:00:00+00:00,-23.9426_-64.8023,,,,POINT(-64.8023369 -23.9425671)
2026-05-21 03:00:00+00:00,-32.0545_-61.6019,,,,POINT(-61.6018824 -32.0544559)
2026-05-22 03:00:00+00:00,-32.0545_-61.6019,,,,POINT(-61.6018824 -32.0544559)
2026-05-23 03:00:00+00:00,-32.0545_-61.6019,,,,POINT(-61.6018824 -32.0544559)
2026-05-21 03:00:00+00:00,-27.3762_-64.7961,,,,POINT(-64.7961142 -27.3762449)
2026-05-22 03:00:00+00:00,-27.3762_-64.7961,,,,POINT(-64.7961142 -27.3762449)
2026-05-23 03:00:00+00:00,-27.3762_-64.7961,,,,POINT(-64.7961142 -27.3762449)
2026-05-21 03:00:00+00:00,-30.6726_-60.5036,,,,POINT(-60.5035744 -30.6725959)
2026-05-22 03:00:00+00:00,-30.6726_-60.5036,,,,POINT(-60.5035744 -30.6725959)
2026-05-23 03:00:00+00:00,-30.6726_-60.5036,,,,POINT(-60.5035744 -30.6725959)
2026-05-21 03:00:00+00:00,-36.2276_-64.2335,,,,POINT(-64.2334829 -36.2275956)
2026-05-22 03:00:00+00:00,-36.2276_-64.2335,,,,POINT(-64.2334829 -36.2275956)
2026-05-23 03:00:00+00:00,-36.2276_-64.2335,,,,POINT(-64.2334829 -36.2275956)
2026-05-21 03:00:00+00:00,-34.1895_-61.5266,,,,POINT(-61.5265613 -34.1895388)
2026-05-22 03:00:00+00:00,-34.1895_-61.5266,,,,POINT(-61.5265613 -34.1895388)
2026-05-23 03:00:00+00:00,-34.1895_-61.5266,,,,POINT(-61.5265613 -34.1895388)
2026-05-21 03:00:00+00:00,-32.6675_-60.7957,,,,POINT(-60.7957434 -32.6674546)
2026-05-22 03:00:00+00:00,-32.6675_-60.7957,,,,POINT(-60.7957434 -32.6674546)
2026-05-23 03:00:00+00:00,-32.6675_-60.7957,,,,POINT(-60.7957434 -32.6674546)
2026-05-21 03:00:00+00:00,-31.3002_-63.7587,,,,POINT(-63.7586562 -31.300212)
