id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
4232,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Piedrabuena,0.0,,POINT(-65.183807 -26.8184342)
4233,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Rapelli,0.0,,POINT(-64.5034556 -26.3946871)
4234,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,Río Colorado,1.0,,POINT(-65.3557946 -27.1503766)
4235,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Tucumán,Rumi Punco,7.0,,POINT(-65.5739654 -27.9848359)
4236,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Tucumán,San Agustín,7.0,,POINT(-64.8504348 -26.8369326)
4237,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Tucumán,Tacanas,0.0,,POINT(-64.8100112 -27.1383027)
4238,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Tucumán,Taco Ralo,10.0,,POINT(-65.1959141 -27.8357346)
4239,2026-01-21 03:00:00+00:00,Dalbulus maidis,Explosive,CREA,Tucumán,Timbo Viejo,148.0,,POINT(-65.1309335 -26.6640852)
4240,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Tucumán,Trancas,1.0,,POINT(-65.2835347 -26.230956)
4241,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Tucumán,Leales,0.0,,POINT(-65.310329 -27.1937478)
4242,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPPCE,Tucumán,Tala Pozo,16.0,,POINT(-64.831831 -26.7352494)
4243,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santiago del Estero,Bobadal,0.0,,POINT(-64.3987974 -26.7223111)
4244,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santiago del Estero,El Charco,5.0,,POINT(-64.6991261 -27.2272489)
4245,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,El Palomar,4.0,,POINT(-64.6014054 -26.8850922)
